"","RCT","IPSW","IPSW.norm","Stratification.n.10","G.formula","AIPSW","CW","ACW","n","m","param_RCT","outcome"
"469",-10.9642584331117,50.6029560090035,47.8805755871708,19.3751217204778,17.1528788028199,52.1205453886962,34.3712358361794,26.3334749348513,1000,10000,"strongbias","wrong"
"470",-8.16093676145525,5.71996490999972,5.40231930036965,7.2380032765962,12.395333013993,13.6089080911105,10.3577574978383,27.6167124078273,1000,10000,"strongbias","wrong"
"471",-3.54320247211282,41.8669528911459,46.9034016021284,31.451731934276,21.3402844352776,39.0635123141459,43.701707315985,27.8021783508332,1000,10000,"strongbias","wrong"
"472",-7.35221571009561,23.3820885555881,27.5752479363618,NA,20.6044488019592,33.2182523196552,21.8789049633631,27.1049036215669,1000,10000,"strongbias","wrong"
"473",-5.77463482639517,14.725093678053,21.2888676688894,20.026596167873,16.6366574885807,23.547005996722,27.8314448360974,27.1610235979173,1000,10000,"strongbias","wrong"
"474",-9.13152010619689,24.5488691851973,24.092215907022,22.9850773631955,18.9875262686765,27.8141154074474,34.0745672697055,28.699376696841,1000,10000,"strongbias","wrong"
"475",-13.3579625672882,19.7313958027255,9.17312963378939,NA,15.3863203253917,18.6315996872116,14.4643638887033,27.0362361380853,1000,10000,"strongbias","wrong"
"476",-6.68793169210522,30.0307971679819,39.1939420058833,NA,18.1253943920463,35.8078908027474,39.4386530600472,26.5513591534797,1000,10000,"strongbias","wrong"
"477",-7.94881674304652,17.4496916889374,14.3616075868144,18.3981000106837,15.8837526987456,22.2376826146638,18.6280837460326,27.5912206759069,1000,10000,"strongbias","wrong"
"478",-4.59289245436409,23.9129990729876,36.6328094157869,27.5577331552985,20.5526048052801,35.6936601682813,39.1073234027818,26.4510796894838,1000,10000,"strongbias","wrong"
"479",-6.51788029808678,11.107935937354,12.1990857122226,NA,13.6384529229954,12.2948055299298,21.7321384937644,27.6750431891171,1000,10000,"strongbias","wrong"
"480",-3.34551637536416,21.0339055714545,-5.5578289160385,NA,15.160863441832,16.1337235369836,1.61879280143348,26.9512536384037,1000,10000,"strongbias","wrong"
"481",-11.4863042051595,13.9204976945657,12.6087369941038,12.9541516618077,13.2050509093574,18.9795088676585,18.5918698090797,26.5907674999125,1000,10000,"strongbias","wrong"
"482",-8.76341783623398,42.7875059173351,37.4571121511413,35.5145919051058,16.7586301676332,33.5860561848754,31.0520644674109,27.1905659431276,1000,10000,"strongbias","wrong"
"483",-10.1432657415775,28.2190150761356,11.163046976276,NA,13.0430678272191,16.4535559505033,14.2347385779846,27.078566344267,1000,10000,"strongbias","wrong"
"484",-8.85498802725802,26.6671931664089,29.3533223690584,28.2296990386886,17.8291082076692,33.115588806642,29.2450289000018,27.5489130189108,1000,10000,"strongbias","wrong"
"485",-9.372052038136,62.5982853291101,69.0168013727763,NA,17.4479500852989,62.8173397891302,51.8678060436242,27.1181256963022,1000,10000,"strongbias","wrong"
"486",-4.82059726762992,8.41488593960508,30.1223384630197,25.272829260946,24.7144409682383,23.2784076648823,32.4793991060012,28.0983392841466,1000,10000,"strongbias","wrong"
"487",-8.19323576371738,39.3613302680119,25.8985776133941,26.8948102819171,17.8031888282103,25.7378673912663,23.772076263415,26.7917315276877,1000,10000,"strongbias","wrong"
"488",-8.8958142814398,21.5029041510295,23.0570293723157,NA,20.8236063349684,27.2403468434107,24.2749992318995,27.4010286273989,1000,10000,"strongbias","wrong"
"489",-4.96146561584169,41.5710043586287,40.7440678161888,NA,29.4448709887004,41.5167046353004,40.0564369817798,27.7528050607654,1000,10000,"strongbias","wrong"
"490",-12.0082904339851,8.4805843663812,-0.497694628546282,NA,13.0811069940614,12.7465719070933,1.89171958863842,28.031166736234,1000,10000,"strongbias","wrong"
"491",-9.7533428133078,20.8085693157177,22.4408895811049,19.1165726072594,17.2876816237478,23.5765860639593,30.8611541817265,27.5992203916916,1000,10000,"strongbias","wrong"
"492",-8.02769832375311,33.2149834467672,16.7803311448393,17.5022728107655,12.9107180741421,18.9192911123653,16.4764894624975,27.3455708875826,1000,10000,"strongbias","wrong"
"493",-8.27010837771387,30.8251443447383,17.5566394859417,41.5574751862743,22.8176087054325,31.6818623307871,19.3299754176445,28.0851184186029,1000,10000,"strongbias","wrong"
"494",-8.38275314292702,20.7443853358551,21.7999593955717,22.4248346803325,17.6084838907562,24.2443735430407,24.5391975586099,27.6058861758447,1000,10000,"strongbias","wrong"
"495",-9.04120639491522,32.4918286450146,19.2410654250232,29.3821492787808,15.4530319064077,23.406123409573,28.2949525259006,27.6078896974947,1000,10000,"strongbias","wrong"
"496",-7.53551706330839,22.3634983728621,35.6228118697266,NA,17.957491217437,31.097203828403,42.4438838690427,27.9225290795707,1000,10000,"strongbias","wrong"
"497",-8.41031777821497,23.6023886594126,25.3154608542987,NA,16.5928872497749,29.3235865540203,26.9314099880784,27.5017629588888,1000,10000,"strongbias","wrong"
"498",-4.20728431675208,20.7339647208736,28.9961495254947,NA,18.6052078142793,25.0604244890204,36.0284086502413,25.6124767481016,1000,10000,"strongbias","wrong"
"499",-6.97209556665433,1.36916240017235,12.8148746837767,14.3579264831125,13.6930036422378,16.4379950898209,20.1530783396439,27.2623320697881,1000,10000,"strongbias","wrong"
"500",-9.33950391114361,26.0133448787544,16.3330403259315,20.1374779049699,18.9980993231692,19.1983422301746,19.599415709506,27.2976238544975,1000,10000,"strongbias","wrong"
"501",4.91805951179134,16.0972828620782,21.876112455639,19.5309962238583,28.1392219434472,28.1776452993885,38.5957584458028,28.5082573839132,1000,10000,"exponential","correct"
"502",7.46839638931183,12.3531856266036,17.1230735669242,NA,27.3839562967972,27.3610796013718,19.1418196389422,26.8484045902341,1000,10000,"exponential","correct"
"503",7.49333253105802,15.2334896966488,20.9469257596457,NA,27.6960798629445,27.7060704660939,29.7363442166494,27.7771837078571,1000,10000,"exponential","correct"
"504",6.22900285690461,11.8016581924951,20.2687784565905,22.7309313086823,28.4829941336318,28.5608520809582,29.7374734170478,28.7303956135034,1000,10000,"exponential","correct"
